"","umpd_case_number","type","type_detail","disposition","date_incident","arrest_number","notes","race","sex","arrest_date"
"365","2023-00024367","cds violation","NA","arrest","2023-03-15","23717","(Driving, Attempting to drive) veh. while under the influence of alcohol; CDS:Possession Cannabis-Personal Amount","black","male","2023-03-15"
"366","2023-00024456","injured/sick person","NA","cbe","2023-03-16","NA","NA","NA","NA","NA"
"367","2023-00024476","theft","NA","investigation pending","2023-03-15","NA","NA","NA","NA","NA"
"368","2023-00024489","burglary","NA","active/pending","2023-03-15","NA","NA","NA","NA","NA"
"369","2023-00024599","injured/sick person","NA","cbe","2023-03-16","NA","NA","NA","NA","NA"
"370","2023-00024683","injured/sick person","NA","cbe","2023-03-16","NA","NA","NA","NA","NA"
"371","2023-00024692","injured/sick person","NA","cbe","2023-03-17","NA","NA","NA","NA","NA"
"372","2023-00024709","traffic arrest","NA","arrest","2023-03-17","23715","False Statement to Officer","black","male","2023-03-17"
"373","2023-00024843","other incident","NA","cbe","2023-02-28","NA","NA","NA","NA","NA"
"374","2023-00024864","fraud","NA","arrest","2022-07-06","23888","THEFT: $100 TO UNDER $1,500-All Other","black","male","2023-10-11"
"375","2023-00024943","theft","NA","investigation pending","2023-03-17","NA","NA","NA","NA","NA"
"376","2023-00024976","recovered stolen property","NA","cbe","2023-03-17","NA","NA","NA","NA","NA"
"377","2023-00025052","injured/sick person","NA","cbe","2023-03-18","NA","NA","NA","NA","NA"
"378","2023-00025260","assist other agency","assault","active/pending","2023-03-16","NA","NA","NA","NA","NA"
"379","2023-00025506","dwi/dui","NA","arrest","2023-03-19","23722","(Driving, Attempting to drive) veh. while impaired by alcohol; (Driving, Attempting to drive) veh. while under the influence of alcohol; (Driving, Attempting to drive) veh. while under the influence of alcohol per se","white","male","2023-03-19"
"380","2023-00025680","false report/statement","NA","arrest","2023-03-19","23716","Driving veh. on hwy. with revoked registration; False Statement to Peace Officer; FRAUD-PER. IDENT. AVOID PROS","black","male","2023-03-19"
"381","2023-00025684","injured/sick person","NA","cbe","2023-03-19","NA","NA","NA","NA","NA"
"382","2023-00025886","suspicious person/auto","NA","cbe","2023-03-20","NA","NA","NA","NA","NA"
"383","2023-00026430","dwi/dui","NA","arrest","2023-03-21","23718","(Driving, Attempting to drive) veh. while impaired by alcohol; (Driving, Attempting to drive) veh. while under the influence of alcohol; (Driving, Attempting to drive) veh. while under the influence of alcohol per se; Driving veh. in excess of reasonable and prudent speed on hwy.; Negligent driving veh. in careless and imprudent manner endangering property, life and person; Reckless driving veh. in wanton and willfull disregard for safety of persons and property; Unauthorized display and use of reg. plate","white","male","2023-03-21"
"384","2023-00026488","emergency petition","NA","cbe","2023-03-22","NA","NA","NA","NA","NA"
"385","2023-00026650","theft","NA","investigation pending","2023-03-22","NA","NA","NA","NA","NA"
"386","2023-00026767","suspicious person/auto","NA","active/pending","2023-03-23","NA","NA","NA","NA","NA"
"387","2023-00026879","injured/sick person","NA","cbe","2023-03-23","NA","NA","NA","NA","NA"
"388","2023-00026907","assault","NA","arrest","2023-03-23","23726","ASSAULT SEC DEG-LE Officer,Parole/Probation Agent - Aggravated; ASSAULT-SEC DEGREE-Simple, Not Aggravated; Attempt by driver to elude uniformed police by fleeing on foot; Fail Obey Reasonable/Lawful order of Law Enforcement Officer; Obstructing and Hindering; Resist/Interfere with Arrest","black","male","2023-03-23"
"389","2023-00027082","injured/sick person","NA","cbe","2023-03-24","NA","NA","NA","NA","NA"
"390","2023-00027224","theft","NA","active/pending","2023-03-17","NA","NA","NA","NA","NA"
"391","2023-00027263","trespassing","NA","arrest","2023-03-24","23720","School Trespassing On Ground","black","male","2023-03-24"
"392","2023-00027404","theft","NA","arrest","2023-03-25","23723","Theft Less Than $100","white","male","2023-03-25"
"393","2023-00027626","injured/sick person","NA","cbe","2023-03-25","NA","NA","NA","NA","NA"
"394","2023-00027629","injured/sick person","NA","cbe","2023-03-25","NA","NA","NA","NA","NA"
"395","2023-00027711","cds violation","NA","arrest","2023-03-25","23721","CDS:Possession Cannabis-Personal Amount","asian","male","2023-03-25"
"396","2023-00027776","injured/sick person","NA","cbe","2023-03-26","NA","NA","NA","NA","NA"
"397","2023-00027850","suspicious person/auto","NA","cbe","2023-03-26","NA","NA","NA","NA","NA"
"398","2023-00028039","sex offense (title ix related)","NA","arrest","2023-03-26","23733","ASSAULT-SEC DEGREE-Hands,Fist,Feet,Etc-Aggravated Injury, Indecent Exposure, School Molest Etc Other Lock, Sex Offense- 4TH Degree-Sex Contact","black","male","2023-03-30"
"399","2023-00028054","injured/sick person","NA","cbe","2023-03-27","NA","NA","NA","NA","NA"
"400","2023-00028085","injured/sick person","NA","cbe","2023-03-27","NA","NA","NA","NA","NA"
"401","2023-00028097","damage to state property","NA","cbe","2023-03-27","NA","NA","NA","NA","NA"
"402","2023-00028107","damage to state property","NA","cbe","2023-03-27","NA","NA","NA","NA","NA"
"403","2023-00028186","indecent exposure","NA","arrest","2023-03-27","23734","ASSAULT-SEC DEGREE-Hands,Fist,Feet,Etc-Aggravated Injury, Indecent Exposure, School Molest Etc Other Lock, Sex Offense- 4TH Degree-Sex Contact","black","male","2023-03-30"
"404","2023-00028229","theft","NA","investigation pending","2023-03-17","NA","NA","NA","NA","NA"
"405","2023-00028269","theft","NA","investigation pending","2023-03-26","NA","NA","NA","NA","NA"
"406","2023-00028368","theft","NA","active/pending","2023-03-16","NA","NA","NA","NA","NA"
"407","2023-00028392","emergency petition","NA","cbe","2023-03-27","NA","NA","NA","NA","NA"
"408","2023-00028398","theft","NA","arrest","2023-03-27","23724","BURGLARY-4TH DEGREE/TOOLS; CDS: POSS PARAPHERNALIA; Malicious Destruction Property/Value -$1000; School Trespassing On Ground; THEFT: $100 TO UNDER $1,500-Bicycle","black","male","2023-03-27"
"409","2023-00028407","injured/sick person","NA","cbe","2023-03-27","NA","NA","NA","NA","NA"
"410","2023-00028411","injured/sick person","NA","cbe","2023-03-27","NA","NA","NA","NA","NA"
"411","2023-00028540","suspicious person/auto","NA","cbe","2023-03-28","NA","NA","NA","NA","NA"
"412","2023-00028583","injured/sick person","NA","cbe","2023-03-28","NA","NA","NA","NA","NA"
"413","2023-00028593","theft","NA","investigation pending","2023-03-17","NA","NA","NA","NA","NA"
"414","2023-00028596","theft","NA","investigation pending","2023-03-26","NA","NA","NA","NA","NA"
"415","2023-00028638","dwi/dui","NA","arrest","2023-03-28","23727","(Driving, Attempting to drive) veh. while impaired by alcohol; (Driving, Attempting to drive) veh. while under the influence of alcohol; Driver consuming alcoholic beverage in passenger area of motor veh. on hwy; Driver failure to obey properly placed traffic control device instructions; Driving veh. on sidewalk and sidewalk area where prohibited; Driving veh. onto controlled access hwy. from unauthorized (entrance, exit); Failure to carry registration card within vehicle; Failure to display registration card upon demand by police officer; Negligent driving veh. in careless and imprudent manner endangering property, life and person; Reckless driving veh. in wanton and willfull disregard for safety of persons and property","white","male","2023-03-28"
"416","2023-00028811","assist other agency","check on the welfare","cbe","2023-03-23","NA","NA","NA","NA","NA"
"417","2023-00028823","theft","NA","investigation pending","2023-03-27","NA","NA","NA","NA","NA"
"418","2023-00028837","theft","NA","investigation pending","2023-03-12","NA","NA","NA","NA","NA"
"419","2023-00028839","theft","NA","investigation pending","2023-03-28","NA","NA","NA","NA","NA"
"420","2023-00028870","sex offense (title ix related)","NA","active/pending","2022-08-26","NA","NA","NA","NA","NA"
"421","2023-00028985","injured/sick person","NA","cbe","2023-03-30","NA","NA","NA","NA","NA"
"422","2023-00029101","injured/sick person","NA","cbe","2023-03-30","NA","NA","NA","NA","NA"
"423","2023-00029239","assist other agency","other","cbe","2023-03-30","NA","NA","NA","NA","NA"
"424","2023-00029276","injured/sick person","NA","cbe","2023-03-31","NA","NA","NA","NA","NA"
"425","2023-00029335","assist other agency","other","cbe","2023-03-31","NA","NA","NA","NA","NA"
"426","2023-00029575","injured/sick person","NA","cbe","2023-03-31","NA","NA","NA","NA","NA"
"427","2023-00029595","alcohol violation","NA","arrest","2023-03-31","23735","Consuming/Possessing Open Alcoholic Beverage in Public","white","male","2023-03-31"
"428","2023-00029631","injured/sick person","NA","cbe","2023-03-31","NA","NA","NA","NA","NA"
"429","2023-00029649","cds violation, baltimore  ave","NA","arrest, baltimore  ave","2023-03-31, NA","23736","CDS POSS W/INT TO DIST; CDS: POSSESS-NOT CANNABIS","black","female","2023-03-31"
"430","2023-00029759","injured/sick person","NA","cbe","2023-04-01","NA","NA","NA","NA","NA"
"431","2023-00029806","injured/sick person","NA","cbe","2023-04-01","NA","NA","NA","NA","NA"
"432","2023-00029882","theft","NA","investigation pending","2023-04-01","NA","NA","NA","NA","NA"
"433","2023-00029886","injured/sick person","NA","cbe","2023-04-01","NA","NA","NA","NA","NA"
"434","2023-00029908","theft from auto","NA","active/pending","2023-04-01","NA","NA","NA","NA","NA"
"435","2023-00029939","injured/sick person","NA","cbe","2023-04-01","NA","NA","NA","NA","NA"
"436","2023-00030024","injured/sick person","NA","cbe","2023-04-01","NA","NA","NA","NA","NA"
"437","2023-00030075","assist other agency (title ix related)","indecent exposure","cbe","2023-04-02","NA","NA","NA","NA","NA"
"438","2023-00030089","assault","NA","cbe","2023-04-02","NA","NA","NA","NA","NA"
"439","2023-00030274","theft","NA","active/pending","2023-04-01","NA","NA","NA","NA","NA"
"440","2023-00030325","injured/sick person","NA","cbe","2023-04-02","NA","NA","NA","NA","NA"
"441","2023-00030337","dwi/dui","NA","arrest","2023-04-02","23744","(Driving, Attempting to drive) veh. while impaired by alcohol; (Driving, Attempting to drive) veh. while under the influence of alcohol; (Driving, Attempting to drive) veh. while under the influence of alcohol per se","white","male","2023-04-02"
"442","2023-00030351","dwi/dui","NA","arrest","2023-04-02","23728","(Driving, Attempting to drive) motor veh. on hwy. w/o req. license and authorization; (Driving, Attempting to drive) veh. while impaired by alcohol; (Driving, Attempting to drive) veh. while under the influence of alcohol","black","male","2023-04-02"
"443","2023-00030431","vandalism","NA","investigation pending","2023-03-31","NA","NA","NA","NA","NA"
"444","2023-00030597","indecent exposure","NA","cbe","2023-04-03","NA","NA","NA","NA","NA"
"445","2023-00030612","emergency petition","NA","cbe","2023-04-03","NA","NA","NA","NA","NA"
"446","2023-00030716","warrant/summons service","NA","arrest","2023-04-04","NA","NA","NA","NA","NA"
"447","2023-00030874","assist other agency","assault","cbe","2023-04-04","NA","NA","NA","NA","NA"
"448","2023-00030930","injured/sick person","NA","cbe","2023-04-04","NA","NA","NA","NA","NA"
"449","2023-00030937","assist other agency","other","cbe","2023-04-04","NA","NA","NA","NA","NA"
"450","2023-00031136","other incident (title ix related)","NA","active/pending","2023-04-04","NA","NA","NA","NA","NA"
"451","2023-00031147","theft","NA","investigation pending","2023-04-04","NA","NA","NA","NA","NA"
"452","2023-00031149","extortion","NA","active/pending","2023-04-05","NA","NA","NA","NA","NA"
"453","2023-00031215","burglary","NA","arrest","2023-04-05","23748","BURGLARY-4TH DEGREE THEFT; School Trespassing On Ground; Theft or Duplication of State-Owned Keys; THEFT: $100 TO UNDER $1,500-From Building; Trespass-Posted Property","black","male","2023-04-05"
"454","2023-00031474","theft","NA","investigation pending","2023-04-06","NA","NA","NA","NA","NA"
"455","2023-00031476","check on the  welfare","NA","cbe","2023-04-06","NA","NA","NA","NA","NA"
"456","2023-00031483","damaged property","NA","active/pending","2023-04-05","NA","NA","NA","NA","NA"
"457","2023-00031515","injured/sick person","NA","cbe","2023-04-06","NA","NA","NA","NA","NA"
"458","2023-00031583","alcohol violation","NA","arrest","2023-04-07","23742, 23743","Consuming/Possessing Open Alcoholic Beverage in Public","hawaiian/other pacific islander, white","female","2023-04-07"
"459","2023-00031589","suspicious activity","NA","cbe","2023-04-07","NA","NA","NA","NA","NA"
"460","2023-00031598","disorderly conduct","NA","cbe","2023-04-07","NA","NA","NA","NA","NA"
"461","2023-00031760","extortion (title ix related)","NA","active/pending","2023-04-07","NA","NA","NA","NA","NA"
"462","2023-00031915","theft","NA","arrest","2023-04-04","23752","Theft Less Than $100","black","male","2023-04-07"
"463","2023-00031920","resisting arrest","NA","arrest","2023-04-07","23746","Disorderly Conduct; Resist/Interfere with Arrest; Trespassing Public Agency During Hours","","","2023-04-07"
"464","2023-00031951","injured/sick person","NA","cbe","2023-04-08","NA","NA","NA","NA","NA"
"465","2023-00031957","injured/sick person","NA","cbe","2023-04-08","NA","NA","NA","NA","NA"
"466","2023-00031975","suspicious activity","NA","cbe","2023-04-08","NA","NA","NA","NA","NA"
"467","2023-00032186","theft","NA","active/pending","2023-04-07","NA","NA","NA","NA","NA"
"468","2023-00032191","fire","NA","cbe","2023-04-08","NA","NA","NA","NA","NA"
"469","2023-00032421","assault","NA","cbe","2023-04-07","NA","NA","NA","NA","NA"
"470","2023-00032500","theft","NA","investigation pending","2023-04-09","NA","NA","NA","NA","NA"
"471","2023-00032512","cds violation","NA","cbe","2023-04-09","NA","NA","NA","NA","NA"
"472","2023-00032537","recovered stolen property","NA","arrest","2023-04-09","23747","Theft Less Than $100","black","male","2023-04-09"
"473","2023-00032783","injured/sick person","NA","cbe","2023-04-10","NA","NA","NA","NA","NA"
"474","2023-00032869","fraud","NA","active/pending","2023-04-07","NA","NA","NA","NA","NA"
"475","2023-00032874","theft","NA","active/pending","2023-04-05","NA","NA","NA","NA","NA"
"476","2023-00032878","emergency petition","NA","cbe","2023-04-10","NA","NA","NA","NA","NA"
"477","2023-00032880","theft","NA","active/pending","2023-03-15","NA","NA","NA","NA","NA"
"478","2023-00032881","theft","NA","active/pending","2023-03-31","NA","NA","NA","NA","NA"
"479","2023-00032882","warrant/summons service","NA","arrest","2023-04-10","NA","NA","NA","NA","NA"
"480","2023-00033184","damage to state property","NA","cbe","2023-04-11","NA","NA","NA","NA","NA"
"481","2023-00033210","theft","NA","active/pending","2023-04-11","NA","NA","NA","NA","NA"
"482","2023-00033246","title ix incident non criminal","NA","cbe","2023-04-08","NA","NA","NA","NA","NA"
"483","2023-00033297","emergency petition","NA","cbe","2023-04-11","NA","NA","NA","NA","NA"
"484","2023-00033416","assist other agency","burglary","cbe","2023-04-12","NA","NA","NA","NA","NA"
"485","2023-00033432","theft","NA","investigation pending","2023-04-11","NA","NA","NA","NA","NA"
"486","2023-00033456","injured/sick person","NA","cbe","2023-04-11","NA","NA","NA","NA","NA"
"487","2023-00033480","other incident","NA","cbe","2023-04-11","NA","NA","NA","NA","NA"
"488","2023-00033490","police information","NA","active/pending","2023-04-12","NA","NA","NA","NA","NA"
"489","2023-00033497","theft","NA","investigation pending","2023-04-11","NA","NA","NA","NA","NA"
"490","2023-00033561","theft","NA","investigation pending","2023-04-11","NA","NA","NA","NA","NA"
"491","2023-00033563","traffic offense","NA","active/pending","2023-04-12","NA","NA","NA","NA","NA"
"492","2023-00033566","injured/sick person","NA","cbe","2023-04-12","NA","NA","NA","NA","NA"
"493","2023-00033785","injured/sick person","NA","cbe","2023-04-13","NA","NA","NA","NA","NA"
"494","2023-00033820","assist other agency (title ix related)","rape","cbe","2023-03-27","NA","NA","NA","NA","NA"
"495","2023-00033833","injured officer","NA","cbe","2023-04-13","NA","NA","NA","NA","NA"
"496","2023-00033874","theft","NA","investigation pending","2023-04-13","NA","NA","NA","NA","NA"
"497","2023-00033887","injured/sick person","NA","cbe","2023-04-13","NA","NA","NA","NA","NA"
"498","2023-00033890","injured/sick person","NA","cbe","2023-04-13","NA","NA","NA","NA","NA"
"499","2023-00033892","vandalism","NA","active/pending","2023-04-12","NA","NA","NA","NA","NA"
"500","2023-00034102","hate bias incident","NA","active/pending","2023-04-09","NA","NA","NA","NA","NA"
"501","2023-00034109","theft","NA","investigation pending","2023-04-12","NA","NA","NA","NA","NA"
"502","2023-00034131","title ix incident non criminal","NA","cbe","2023-04-14","NA","NA","NA","NA","NA"
"503","2023-00034138","emergency petition","NA","cbe","2023-04-14","NA","NA","NA","NA","NA"
"504","2023-00034139","theft","NA","investigation pending","2023-04-13","NA","NA","NA","NA","NA"
"505","2023-00034157","theft","NA","investigation pending","2023-04-13","NA","NA","NA","NA","NA"
"506","2023-00034351","injured/sick person","NA","cbe","2023-04-15","NA","NA","NA","NA","NA"
"507","2023-00034505","assist other agency","check on the welfare","cbe","2023-04-15","NA","NA","NA","NA","NA"
"508","2023-00034509","theft","NA","active/pending","2023-04-12","NA","NA","NA","NA","NA"
"509","2023-00034672","injured/sick person","NA","cbe","2023-04-16","NA","NA","NA","NA","NA"
"510","2023-00034696","other incident","NA","active/pending","2023-04-15","NA","NA","NA","NA","NA"
"511","2023-00034756","fraud","NA","active/pending","2023-03-28","NA","NA","NA","NA","NA"
"512","2023-00034762","assist other agency","death investigation","cbe","2023-04-16","NA","NA","NA","NA","NA"
"513","2023-00034769","injured/sick person","NA","cbe","2023-04-16","NA","NA","NA","NA","NA"
"514","2023-00034790","extortion (title ix related)","NA","active/pending","2023-04-15","NA","NA","NA","NA","NA"
"515","2023-00034804","dwi/dui","NA","arrest","2023-04-16","23749","(Driving, Attempting to drive) veh. while impaired by alcohol; (Driving, Attempting to drive) veh. while under the influence of alcohol","white","female","2023-04-16"
"516","2023-00034805","assist other agency","vandalism","cbe","2023-04-16","NA","NA","NA","NA","NA"
"517","2023-00034918","injured/sick person","NA","cbe","2023-04-17","NA","NA","NA","NA","NA"
"518","2023-00034968","hazardous condition","NA","cbe","2023-04-17","NA","NA","NA","NA","NA"
"519","2023-00034973","theft","NA","investigation pending","2023-04-13","NA","NA","NA","NA","NA"
"520","2023-00035096","assist other agency","carjacking","cbe","2023-04-18","NA","NA","NA","NA","NA"
"521","2023-00035177","injured officer","NA","cbe","2023-04-17","NA","NA","NA","NA","NA"
"522","2023-00035187","hate bias incident","NA","active/pending","2023-04-09","NA","NA","NA","NA","NA"
"523","2023-00035201","injured/sick person","NA","cbe","2023-04-18","NA","NA","NA","NA","NA"
"524","2023-00035212","assist other agency","weapon violation","cbe","2023-04-18","NA","NA","NA","NA","NA"
"525","2023-00035219","accident","NA","cbe","2023-04-18","NA","NA","NA","NA","NA"
"526","2023-00035220","emergency petition","NA","cbe","2023-04-18","NA","NA","NA","NA","NA"
"527","2023-00035223","accident - departmental","NA","cbe","2023-04-18","NA","NA","NA","NA","NA"
"528","2023-00035234","injured/sick person","NA","cbe","2023-04-18","NA","NA","NA","NA","NA"
"529","2023-00035241","stolen motor vehicle","NA","active/pending","2023-04-18","NA","NA","NA","NA","NA"
"530","2023-00035482","threat assessment","NA","active/pending","2023-04-16","NA","NA","NA","NA","NA"
"531","2023-00035489","injured/sick person","NA","cbe","2023-04-19","NA","NA","NA","NA","NA"
"532","2023-00035493","stolen motor vehicle","NA","investigation pending","2023-04-18","NA","NA","NA","NA","NA"
"533","2023-00035495","fraud","NA","active/pending","2023-04-18","NA","NA","NA","NA","NA"
"534","2023-00035506","assist other agency","rape","cbe","2021-10-22","NA","NA","NA","NA","NA"
"535","2023-00035517","assist other agency","rape","cbe","2023-04-16","NA","NA","NA","NA","NA"
"536","2023-00035724","injured/sick person","NA","cbe","2023-04-20","NA","NA","NA","NA","NA"
"537","2023-00035820","other incident","NA","cbe","2023-04-20","NA","NA","NA","NA","NA"
"538","2023-00035868","theft","NA","unfounded","2023-01-24","NA","NA","NA","NA","NA"
"539","2023-00035870","suspicious activity","NA","unfounded","2023-04-18","NA","NA","NA","NA","NA"
"540","2023-00035895","alcohol violation","NA","arrest","2023-04-20","23753","Consuming/Possessing Open Alcoholic Beverage in Public","white","male","2023-04-20"
"541","2023-00035975","injured/sick person","NA","cbe","2023-04-21","NA","NA","NA","NA","NA"
"542","2023-00036006","injured/sick person","NA","cbe","2023-04-21","NA","NA","NA","NA","NA"
"543","2023-00036156","theft","NA","investigation pending","2023-04-20","NA","NA","NA","NA","NA"
"544","2023-00036194","hate bias incident","NA","active/pending","2023-04-20","NA","NA","NA","NA","NA"
"545","2023-00036307","theft","NA","active/pending","2023-04-20","NA","NA","NA","NA","NA"
"546","2023-00036358","injured/sick person","NA","cbe","2023-04-21","NA","NA","NA","NA","NA"
"547","2023-00036366","trespassing","NA","arrest","2023-04-21","23754, 23755, 23756, 23757","Trespass: Private Property","white","female","2023-04-21"
"548","2023-00036409","dwi/dui","NA","arrest","2023-04-22","23764","(Driving, Attempting to drive) veh. while impaired by controlled dangerous substance; (Driving, attempting to drive) veh. while so far impaired by (drug(s) or drug(s) and alcohol) cannot drive safely; Displaying expired registration plates(s) issued by any state; Failure to display registration card upon demand by police officer; Failure to drive veh. on right half of roadway when required; Negligent driving veh. in careless and imprudent manner endangering property, life and person; Reckless driving veh. in wanton and willfull disregard for safety of persons and property","black","male","2023-04-22"
"549","2023-00036419","emergency petition","NA","cbe","2023-04-22","NA","NA","NA","NA","NA"
"550","2023-00036483","damage to state property","NA","active/pending","2023-04-22","NA","NA","NA","NA","NA"
"551","2023-00036499","theft","NA","arrest","2023-04-21","23819","THEFT: $100 TO UNDER $1,500-From Building","asian","male","2023-06-05"
"552","2023-00036632","vandalism","NA","investigation pending","2023-04-22","NA","NA","NA","NA","NA"
"553","2023-00036640","disorderly conduct","NA","arrest","2023-04-23","23765, 23766","Urinating or Defecating in Public","white","male","2023-04-23"
"554","2023-00036667","dwi/dui","NA","arrest","2023-04-23","23750","(Driving, Attempting to drive) veh. while impaired by alcohol; Failure to properly equip and locate headlamps on motor veh.; Negligent driving veh. in careless and imprudent manner endangering property, life and person; Reckless driving veh. in wanton and willfull disregard for safety of persons and property","","","2023-04-23"
"555","2023-00036682","dwi/dui","NA","arrest","2023-04-23","23763","Suspicion/No Charges","black","male","2023-04-23"
"556","2023-00036725","vandalism","NA","active/pending","2023-04-23","NA","NA","NA","NA","NA"
"557","2023-00036727","assist other agency","trespassing","cbe","2023-04-22","NA","NA","NA","NA","NA"
"558","2023-00036731","theft","NA","active/pending","2023-04-21","NA","NA","NA","NA","NA"
"559","2023-00036740","theft","NA","investigation pending","2023-04-23","NA","NA","NA","NA","NA"
"560","2023-00036747","other incident","NA","active/pending","2023-04-20","NA","NA","NA","NA","NA"
"561","2023-00036830","theft from auto","NA","investigation pending","2023-04-23","NA","NA","NA","NA","NA"
"562","2023-00037025","assist other agency","other","cbe","2023-04-24","NA","NA","NA","NA","NA"
"563","2023-00037077","theft","NA","investigation pending","2023-04-07","NA","NA","NA","NA","NA"
"564","2023-00037169","accident - departmental","NA","active/pending","2023-04-24","NA","NA","NA","NA","NA"
"565","2023-00037372","injured officer","NA","active/pending","2023-04-25","NA","NA","NA","NA","NA"
"566","2023-00037412","other incident","NA","active/pending","2023-04-25","NA","NA","NA","NA","NA"
"567","2023-00037532","assist other agency","burglary","cbe","2023-04-25","NA","NA","NA","NA","NA"
"568","2023-00037631","vandalism","NA","arrest","2023-04-26","23761","Malicious Destruction Property/Value -$1000","black","male","2023-04-26"
"569","2023-00037689","vandalism","NA","active/pending","2023-04-26","NA","NA","NA","NA","NA"
"570","2023-00037759","emergency petition","NA","cbe","2023-04-26","NA","NA","NA","NA","NA"
"571","2023-00037796","vandalism","NA","active/pending","2023-04-26","NA","NA","NA","NA","NA"
"572","2023-00037975","injured/sick person","NA","cbe","2023-04-27","NA","NA","NA","NA","NA"
"573","2023-00038119","assault","NA","arrest","2023-04-27","23804, 23805","ASSAULT-SEC DEGREE-Simple, Not Aggravated, ATT-ASSAULT-SEC DEGREE, Disorderly Conduct, Disturb Peace Hinder Passage, School Molest Etc Other Lock","asian, ","male, ","2023-05-18"
"574","2023-00038168","theft","NA","unfounded","2023-04-27","NA","NA","NA","NA","NA"
"575","2023-00038195","injured/sick person","NA","cbe","2023-04-28","NA","NA","NA","NA","NA"
"576","2023-00038241","injured/sick person","NA","cbe","2023-04-28","NA","NA","NA","NA","NA"
"577","2023-00038333","other incident","NA","active/pending","2023-04-27","NA","NA","NA","NA","NA"
"578","2023-00038365","emergency petition","NA","cbe","2023-04-28","NA","NA","NA","NA","NA"
"579","2023-00038441","injured/sick person","NA","cbe","2023-04-28","NA","NA","NA","NA","NA"
"580","2023-00038560","theft","NA","active/pending","2023-04-27","NA","NA","NA","NA","NA"
"581","2023-00038579","dwi/dui","NA","arrest","2023-04-29","23762","(Driving, Attempting to drive) motor veh. on hwy. w/o req. license and authorization; (Driving, Attempting to drive) veh. while impaired by alcohol; (Driving, Attempting to drive) veh. while under the influence of alcohol; Driver changing lanes when unsafe; Driver failure to obey properly placed traffic control device instructions; Failure to display registration card upon demand by police officer; Holder of learner's permit driving with unauthorized person occupying front seat; Negligent driving veh. in careless and imprudent manner endangering property, life and person; Reckless driving veh. in wanton and willfull disregard for safety of persons and property","white","male","2023-04-29"
"582","2023-00038619","hate bias incident","NA","active/pending","2023-04-29","NA","NA","NA","NA","NA"
"583","2023-00038629","vandalism","NA","active/pending","2023-04-29","NA","NA","NA","NA","NA"
"584","2023-00038630","injured/sick person","NA","cbe","2023-04-29","NA","NA","NA","NA","NA"
"585","2023-00038632","injured/sick person","NA","cbe","2023-04-29","NA","NA","NA","NA","NA"
"586","2023-00038635","recovered stolen motor vehicle","NA","arrest","2023-04-29","23775","MOTOR VEHICLE/UNLAWFUL TAKING; Theft Less Than $100 From Motor Vehicle","black","male","2023-04-29"
"587","2023-00038662","other incident","NA","cbe","2023-04-29","NA","NA","NA","NA","NA"
"588","2023-00038663","injured/sick person","NA","cbe","2023-04-29","NA","NA","NA","NA","NA"
"589","2023-00038666","injured/sick person","NA","cbe","2023-04-29","NA","NA","NA","NA","NA"
"590","2023-00038780","traffic offense","NA","warrant issued","2023-04-30","NA","NA","NA","NA","NA"
"591","2023-00038782","vandalism","NA","arrest","2023-04-30","23889, 23890, 23891","Malicious Destruction Property/Value -$1000","white","male","2023-09-22, 2023-09-18, 2023-10-04"
"592","2023-00038937","theft","NA","active/pending","2023-04-30","NA","NA","NA","NA","NA"
"593","2023-00038973","emergency petition","NA","cbe","2023-04-30","NA","NA","NA","NA","NA"
"594","2023-00039073","weapon violation","NA","arrest","2023-05-01","23774","ASSAULT WEAPON POSS/SELL; Handgun On Person; Loaded Handgun in Vehicle; Loaded Handgun on Person; Registration Firearm: Illegal Possesion","black","male","2023-05-01"
"595","2023-00039191","suspicious person/auto","NA","arrest","2023-05-01","23771","Rogue and Vagabond","black","male","2023-05-01"
"596","2023-00039194","theft","NA","active/pending","2023-04-29","NA","NA","NA","NA","NA"
"597","2023-00039219","assist other agency","assault","cbe","2023-05-01","NA","NA","NA","NA","NA"
"598","2023-00039253","suspicious activity","NA","active/pending","2023-05-01","NA","NA","NA","NA","NA"
"599","2023-00039256","suspicious activity","NA","active/pending","2023-05-01","NA","NA","NA","NA","NA"
"600","2023-00039270","accident - departmental","NA","cbe","2023-05-01","NA","NA","NA","NA","NA"
"601","2023-00039422","trespassing","NA","arrest","2023-05-02","23767","School Trespassing On Ground; Trespassing Public Agency After Hour","black","male","2023-05-02"
"602","2023-00039452","emergency petition","NA","cbe","2023-05-02","NA","NA","NA","NA","NA"
"603","2023-00039480","burglary","NA","arrest","2023-05-02","23768","BURGLARY-FOURTH DEGREE-STOREHOUSE; Fail Obey Reasonable/Lawful order of Law Enforcement Officer; Obstructing and Hindering; THEFT: $100 TO UNDER $1,500-Shoplifting","black","male","2023-05-02"
"604","2023-00039503","other incident","NA","cbe","2023-05-02","NA","NA","NA","NA","NA"
"605","2023-00039520","emergency petition","NA","cbe","2023-05-02","NA","NA","NA","NA","NA"
"606","2023-00039525","trespassing","NA","cbe","2023-05-02","NA","NA","NA","NA","NA"
"607","2023-00039535","hate bias incident","NA","active/pending","2023-04-29","NA","NA","NA","NA","NA"
"608","2023-00039679","fire","NA","cbe","2023-05-03","NA","NA","NA","NA","NA"
"609","2023-00039684","vandalism","NA","active/pending","2023-05-03","NA","NA","NA","NA","NA"
